Problem;Number of Iterations;Termination Criterion;Makespan;Time (s);%Gap
ta32;50;10;2934;5.046875;3.5
ta32;50;20;2934;5.078125;3.5
ta32;100;5;2927;10.859375;3.3
ta32;100;10;2928;10.09375;3.3
ta32;100;20;2932;10.21875;3.5
ta32;250;5;2887;28.25;1.9
ta32;250;10;2885;26.9375;1.8
ta32;250;20;2894;25.5;2.1
ta32;500;5;2907;54.875;2.6
ta32;500;10;2890;52.703125;2
ta32;500;20;2890;51.078125;2
ta32;1000;5;2884;110.75;1.8
ta32;1000;10;2863;104.9375;1
ta32;1000;20;2890;102.4375;2
ta32;2500;5;2905;275.453125;2.5
ta32;2500;10;2863;263.125;1
ta32;2500;20;2882;255.859375;1.7
ta33;50;5;2694;5.75;2.8
ta33;50;10;2686;5.09375;2.5
ta33;50;20;2715;4.9375;3.6
ta33;100;5;2682;11.125;2.3
ta33;100;10;2678;10.578125;2.2
ta33;100;20;2685;9.90625;2.4
ta33;250;5;2664;27.671875;1.6
ta33;250;10;2646;26.5625;1
ta33;250;20;2666;25.25;1.7
ta33;500;5;2676;55.46875;2.1
ta33;500;10;2666;52.4375;1.7
ta33;500;20;2641;50.734375;0.8
ta33;1000;5;2679;110.1875;2.2
ta33;1000;10;2650;106.171875;1.1
ta33;1000;20;2645;102.34375;0.9
ta33;2500;5;2655;276.296875;1.3
ta33;2500;10;2646;263.578125;1
ta33;2500;20;2630;255.015625;0.3
ta34;50;5;2840;5.296875;3.2
ta34;50;10;2820;5.28125;2.5
ta34;50;20;2848;4.9375;3.5
ta34;100;5;2799;10.984375;1.7
ta34;100;10;2843;10.328125;3.3
ta34;100;20;2884;10.1875;4.8
ta34;250;5;2848;27.390625;3.5
ta34;250;10;2817;26;2.4
ta34;250;20;2801;25.421875;1.8
ta34;500;5;2843;55.234375;3.3
ta34;500;10;2848;53.359375;3.5
ta34;500;20;2782;50.546875;1.1
ta34;1000;5;2823;110.46875;2.6
ta34;1000;10;2770;104.984375;0.7
ta34;1000;20;2770;101.578125;0.7
